# ell cibdBeta_1.0_T_10.7_gy cibdBeta_1.0_T_10.7_yy cibdBeta_1.2_T_10.7_gy cibdBeta_1.2_T_10.7_yy
1.376500000000000227e+03 8.175917600806946030e-14 5.776823120028284059e-17 1.089879979611771307e-13 6.501236280536577752e-17
1.426500000000000227e+03 5.429884412959697199e-14 5.626998061443772322e-17 8.327093021566054040e-14 6.336918275903831118e-17
1.476500000000000227e+03 5.422961886525582250e-14 4.996724695119703416e-17 8.186707912245333653e-14 5.613708400272532809e-17
1.526500000000000000e+03 4.126453008931133941e-14 4.099992334065854989e-17 6.527451596025360639e-14 4.570725538196940453e-17
1.576500000000000000e+03 3.431447012514513780e-14 3.293819155143555182e-17 5.820852747330087219e-14 3.628614763334724528e-17
1.626500000000000227e+03 1.142578393690095849e-14 2.867023364370583122e-17 3.457717561271174873e-14 3.112149812888251679e-17
1.676500000000000227e+03 2.362922333788562282e-14 2.684449404917203193e-17 4.550191453646926154e-14 2.903584347515109443e-17
1.726500000000000227e+03 3.109397134292007082e-14 2.606441319491553611e-17 5.519041428215495088e-14 2.804741062693162331e-17
1.776500000000000227e+03 1.811997245401698980e-14 2.425571076833544476e-17 3.894638490886724298e-14 2.587690675394002816e-17
1.826500000000000227e+03 2.211828034475481975e-14 2.169881506000313093e-17 4.433369378743283646e-14 2.276076349886989047e-17
1.876500000000000000e+03 2.261597357795655198e-14 1.910572381750228254e-17 4.237163116702152153e-14 1.959107520441774396e-17
1.926500000000000000e+03 2.331618546059311055e-14 1.762063800378549388e-17 4.391041419410314518e-14 1.769507178207161489e-17
1.976500000000000000e+03 2.076601840411737118e-14 1.702789644193468927e-17 3.908687695203729598e-14 1.691315952067896635e-17
2.026500000000000000e+03 1.532457245076788273e-15 1.635001772475956512e-17 2.091070502248782299e-14 1.609994855670258881e-17
2.076500000000000000e+03 8.821431076130439701e-16 1.606486465961492114e-17 2.113049572669502117e-14 1.557801909938735883e-17
2.126500000000000000e+03 -1.591731861345349018e-15 1.505639998898419789e-17 1.460201732158742979e-14 1.425586331761180563e-17
2.176500000000000000e+03 -1.094196094461854773e-14 1.407432614190589746e-17 7.180015752446476420e-15 1.293996684781543903e-17
2.226500000000000000e+03 -3.515591314850284217e-15 1.339528132504393905e-17 1.357792309330100009e-14 1.204645006352510396e-17
2.276500000000000000e+03 -6.628861664794044092e-15 1.293533380625826654e-17 9.753379541070304408e-15 1.141504709450816486e-17
2.326500000000000000e+03 -9.407960172560559574e-16 1.302545662615188516e-17 1.578042966736355111e-14 1.136712159382154596e-17
2.376500000000000000e+03 -3.048049800018914848e-15 1.283723069158276357e-17 1.486777028412835342e-14 1.112670680108650787e-17
2.426500000000000000e+03 -1.084124441495891319e-14 1.261570420932718651e-17 5.523114270618608894e-15 1.075121555097007454e-17
2.476500000000000000e+03 -1.316434539523268267e-14 1.264741911997996221e-17 3.671172265917843253e-15 1.061363588709600669e-17
2.526500000000000455e+03 -1.488959460720959919e-14 1.260351233604013582e-17 8.623389595114045190e-16 1.041951422622733331e-17
2.576500000000000909e+03 -1.523439166295743631e-14 1.258586834355180119e-17 1.016915305311956054e-15 1.033350288041510225e-17
2.626500000000000455e+03 -1.387385740481088230e-14 1.294296551815655384e-17 2.516544522874772078e-15 1.057286274644683439e-17
2.676500000000000909e+03 5.446280550615208505e-17 1.295035837552892523e-17 1.288709485727980411e-14 1.048538202831375016e-17
2.726500000000001364e+03 -1.391041856906416444e-14 1.321486905621746539e-17 1.555760193404182140e-15 1.062601023468852138e-17
2.776500000000001819e+03 -1.841548990518316937e-14 1.338200122929227942e-17 -3.115009763492869554e-15 1.066520184275571006e-17
2.826500000000001819e+03 -1.692622265094184654e-14 1.350136220961513647e-17 -3.230496531281787119e-15 1.071038976898597111e-17
2.876500000000001819e+03 -2.450938583919652745e-14 1.371175703465328282e-17 -1.007761407596624351e-14 1.081032025402387616e-17
2.926500000000001819e+03 -1.855058338251835913e-14 1.384504180062478876e-17 -4.759345350264392617e-15 1.090062224096681455e-17
2.976500000000001364e+03 -1.998792885971811393e-14 1.413753234725686655e-17 -4.355916801115548492e-15 1.104030802221253780e-17
3.026500000000001364e+03 -2.265416513150108827e-14 1.432241137473839457e-17 -7.485393523279455014e-15 1.112111113628145691e-17
3.076500000000001364e+03 -2.286687764871899418e-14 1.469141814626902591e-17 -8.462077702533142074e-15 1.138774259491147774e-17
3.126500000000000909e+03 -2.419667483506773190e-14 1.488749560091489438e-17 -1.020341231720142389e-14 1.145827027268988719e-17
3.176500000000000909e+03 -2.535352293456649382e-14 1.542868819437193575e-17 -1.106578661995080675e-14 1.183598513239713309e-17
3.226500000000000455e+03 -2.241366187633055620e-14 1.571623248365456470e-17 -8.701277120258721710e-15 1.201850157302018368e-17
3.276500000000000455e+03 -1.861705313903927873e-14 1.600817490196764435e-17 -5.868614230678946302e-15 1.214176852184558642e-17
3.326500000000000000e+03 -2.456439304734524425e-14 1.644053916008752083e-17 -9.765303752229955612e-15 1.240694422414626576e-17
3.376500000000000000e+03 -3.061288735758251922e-14 1.706743764653046476e-17 -1.618591258097219759e-14 1.279221435638507908e-17
3.426500000000000000e+03 -2.053353122960059851e-14 1.740496474398483169e-17 -7.528456769971688427e-15 1.291706604214696004e-17
3.476500000000000000e+03 -2.125814212030629177e-14 1.813795023545038054e-17 -7.363926098337650417e-15 1.338915655579656173e-17
3.526500000000000000e+03 -2.433925667693444394e-14 1.837040808502270850e-17 -1.080687253377478617e-14 1.343552371626986793e-17
3.576500000000000000e+03 -2.356656643138122496e-14 1.936704932464993490e-17 -1.069370950093687573e-14 1.401359476108448774e-17
3.626500000000000000e+03 -2.529759162876991326e-14 1.999383098884064821e-17 -1.090590529046341615e-14 1.434011871742704514e-17
3.676500000000000000e+03 -2.443049172681698845e-14 2.107784117258575977e-17 -1.220370358478779723e-14 1.495038384432335584e-17
3.726500000000000000e+03 -2.136433969055845320e-14 2.205158753579486532e-17 -9.780008101683240322e-15 1.545932218905194950e-17
3.776500000000000000e+03 -1.779231750004827042e-14 2.328655209389019964e-17 -5.293030822328855241e-15 1.614586094717533646e-17
3.826500000000000000e+03 -2.690594693445725804e-14 2.452680677960342654e-17 -1.479693871675922335e-14 1.679547570928392468e-17
3.876500000000000000e+03 -2.636229944848281394e-14 2.616162007389937156e-17 -1.367130633545621005e-14 1.773060258091249217e-17
3.926500000000000000e+03 -2.386397847181695846e-14 2.780293174516140116e-17 -1.176906831069626803e-14 1.860273392337477171e-17
3.976500000000000000e+03 -3.874398696011250659e-14 2.952591833459876864e-17 -2.427452217896254720e-14 1.956281079552611749e-17
4.026500000000000000e+03 -3.026671303608426344e-14 3.135978925289770600e-17 -1.765982445109378944e-14 2.055374153843596189e-17
4.076500000000000000e+03 -2.653262055602656749e-14 3.371919251222065089e-17 -1.526470993904307732e-14 2.185197549056579919e-17
4.126500000000000000e+03 -3.532064698566825108e-14 3.738744825248569016e-17 -2.196845161924992378e-14 2.395558741720977348e-17
4.176500000000000000e+03 -3.264264427336602439e-14 4.201812734816415857e-17 -1.970657297991934421e-14 2.665031191711433015e-17
4.226500000000000000e+03 -1.534475583245683910e-14 4.885864852607466784e-17 -7.717606093995747235e-15 3.069304062441575020e-17
4.276500000000000000e+03 -2.201711554554077827e-14 5.952759909830526630e-17 -1.317073933685028828e-14 3.703436004632703245e-17
4.326500000000000000e+03 -7.068173222348322208e-15 7.204814889708968088e-17 -2.330759123039179519e-15 4.449067503812135654e-17
4.376500000000000000e+03 4.997800593504255007e-16 8.753464965963107553e-17 4.032238783438331947e-15 5.368773672071514273e-17
4.426500000000000000e+03 -1.252381401377426195e-14 1.041859652573583117e-16 -6.249654210720871477e-15 6.357842198881263875e-17
4.476500000000000000e+03 1.014397958349560102e-16 1.178798570852353811e-16 3.357994817528730987e-15 7.169903436733412123e-17
4.526500000000000000e+03 -3.350423774510771964e-15 1.316958939998867787e-16 9.943060894471571002e-16 7.999783773262048766e-17
4.576499999999999091e+03 4.409239694089464292e-15 1.397138788316642595e-16 6.594800000805270587e-15 8.481546348696492553e-17
4.626499999999999091e+03 -9.921117960119344546e-15 1.411255956398625505e-16 -5.367905772760236991e-15 8.579883077238740397e-17
4.676499999999999091e+03 1.980746529118353989e-15 1.455240097027032615e-16 3.765961686602218954e-15 8.855339089670677992e-17
4.726499999999999091e+03 -8.549203930296627717e-15 1.483303933896978784e-16 -3.555548695355215585e-15 9.042111412633087204e-17
4.776499999999999091e+03 -2.443844931589677103e-14 1.516659581456702958e-16 -1.603086810239807765e-14 9.269044406827648559e-17
4.826499999999999091e+03 -2.006108486195074464e-14 1.535417327017933656e-16 -1.303457151924481205e-14 9.402677780971764797e-17
4.876499999999999091e+03 -2.933600634016215259e-14 1.556775714833918607e-16 -2.092291873443376493e-14 9.553108832830842250e-17
4.926499999999999091e+03 -2.249134592959157956e-15 1.566729942543998254e-16 2.326270404550698314e-16 9.631190216611402648e-17
4.976499999999999091e+03 -1.578807675366273695e-14 1.600236788689853579e-16 -9.111046759500983355e-15 9.852915639014857208e-17
5.026499999999999091e+03 -2.115104497681968017e-14 1.637892021410056631e-16 -1.498125886669873564e-14 1.009104640432850613e-16
5.076499999999999091e+03 -1.070265439338469417e-14 1.717236296377431851e-16 -5.427085320699729535e-15 1.058565793921537143e-16
5.126499999999999091e+03 -2.360448372172547215e-15 1.773713235055232976e-16 5.638940891020477484e-16 1.095645180990560160e-16
