# ell cibdBeta_1.0_T_10.7_gy cibdBeta_1.0_T_10.7_yy
3.926500000000000000e+03 2.189537488892531719e-15 3.089186423375299269e-17
3.976500000000000000e+03 -1.479056329287153620e-14 3.280698465032877329e-17
4.026500000000000000e+03 -3.932141345963296932e-14 3.416689618684078867e-17
4.076500000000000000e+03 -2.126307894588648025e-14 3.706911937565010363e-17
4.126500000000000000e+03 -5.826547507541111525e-14 4.192776657817245318e-17
4.176500000000000000e+03 -4.302583919190142021e-14 4.732886701806400267e-17
4.226500000000000000e+03 -1.980624563415755447e-14 5.643870050570575286e-17
4.276500000000000000e+03 3.410354939529288538e-14 6.757040787224860305e-17
4.326500000000000000e+03 1.566348296108984026e-14 8.138062404509477178e-17
4.376500000000000000e+03 -3.255884843793637262e-14 1.029286154768408838e-16
4.426500000000000000e+03 2.199568133661160166e-14 1.235878346243364477e-16
4.476500000000000000e+03 -2.528276742985759098e-14 1.425200997265382150e-16
4.526500000000000000e+03 -2.154775738881504748e-14 1.614834112457620323e-16
4.576499999999999091e+03 1.118513942237205451e-14 1.768149974105048842e-16
4.626499999999999091e+03 4.653974636220242198e-14 1.721474256038889155e-16
4.676499999999999091e+03 -1.079732520697011001e-13 1.805461261973214243e-16
4.726499999999999091e+03 -8.988843440481222224e-15 1.828642133013101738e-16
4.776499999999999091e+03 -8.387160401090813037e-14 1.864326717211907024e-16
4.826499999999999091e+03 3.560075007095052069e-14 1.898507418729033143e-16
4.876499999999999091e+03 6.291001767881682564e-14 1.908320044252105733e-16
4.926499999999999091e+03 4.188332119896568555e-14 1.978375344108336135e-16
4.976499999999999091e+03 6.096930866270503495e-14 2.026279051015591447e-16
5.026499999999999091e+03 8.383018179591960102e-14 2.033516293497182095e-16
5.076499999999999091e+03 -1.520160854543127419e-14 2.156707842951585681e-16
5.126499999999999091e+03 -3.100841058726334292e-14 2.239114960619799342e-16
5.176499999999999091e+03 -3.754758604635670500e-14 2.412642210088341072e-16
5.226499999999999091e+03 2.763581066597573454e-14 2.398393967123124547e-16
5.276499999999998181e+03 2.086901945906176053e-15 2.594064316340698595e-16
5.326499999999998181e+03 -5.931932520636135060e-14 2.688550070874656886e-16
5.376499999999998181e+03 4.731231504041378804e-14 2.712171810842429314e-16
5.426499999999998181e+03 1.213408830860258394e-13 2.866105029525044649e-16
5.476499999999998181e+03 -1.715842012830415261e-14 2.881605471260548181e-16
5.526499999999998181e+03 1.021658066546224576e-13 2.910170139028366125e-16
5.576499999999998181e+03 -5.124554857727768450e-14 2.986251811203443627e-16
5.626499999999998181e+03 -2.620972781274111771e-14 2.891170198540692093e-16
5.676499999999998181e+03 -3.303678618826397279e-14 2.909543361298215601e-16
5.726499999999998181e+03 4.173784586770373983e-15 2.979074827337535406e-16
5.776499999999998181e+03 3.854952976982881552e-14 2.940810639999835067e-16
5.826499999999998181e+03 -1.492851366383352184e-14 3.027224951392350945e-16
5.876499999999998181e+03 -7.530625992164271241e-14 3.146320409677384921e-16
5.926499999999998181e+03 3.225791420063588149e-14 3.205967858899352471e-16
5.976499999999998181e+03 -1.778867644803852309e-13 3.276389290448812163e-16
6.026499999999998181e+03 -6.283376692725556946e-14 3.472025840771057889e-16
6.076499999999999091e+03 1.293418220285328571e-15 3.718305942857192479e-16
