# ell cibdBeta_1.2_T_10.7_gy cibdBeta_1.2_T_10.7_yy cibdBeta_1.2_T_24.0_gy cibdBeta_1.2_T_24.0_yy cibdBeta_1.3_T_24.0_gy cibdBeta_1.3_T_24.0_yy cibdBeta_1.35_T_24.0_gy cibdBeta_1.35_T_24.0_yy cibdBeta_1.45_T_24.0_gy cibdBeta_1.45_T_24.0_yy cibdBeta_1.4_T_10.7_gy cibdBeta_1.4_T_10.7_yy cibdBeta_1.4_T_24.0_gy cibdBeta_1.4_T_24.0_yy cibdBeta_1.6_T_10.7_gy cibdBeta_1.6_T_10.7_yy cibdBeta_1.6_T_24.0_gy cibdBeta_1.6_T_24.0_yy cibdBeta_1.7_T_10.7_gy cibdBeta_1.7_T_10.7_yy cibdBeta_1.7_T_24.0_gy cibdBeta_1.7_T_24.0_yy cibdBeta_1.8_T_10.7_gy cibdBeta_1.8_T_10.7_yy cibdBeta_1.8_T_24.0_gy cibdBeta_1.8_T_24.0_yy
5.765000000000000000e+02 1.080693696795103765e-13 2.147143786271556390e-16 1.840347595679093726e-14 1.199394125629442122e-16 2.508745434151128182e-14 1.135882767962232924e-16 2.901828369789648857e-14 1.103797824342736335e-16 3.782682655537049564e-14 1.040284417425231081e-16 8.584900209996756964e-14 1.910253586990038081e-16 3.331064826101506731e-14 1.071858508901035407e-16 6.691168397061521086e-14 1.630843917254717137e-16 5.295054319722952777e-14 9.495146041938015394e-17 6.419893110688978523e-14 1.496405286439168011e-16 6.391239631607074066e-14 8.935645973113726629e-17 6.575459546865685863e-14 1.372506916847759651e-16 7.536302919400811939e-14 8.420740321470623324e-17
6.265000000000000000e+02 -2.517121611092743033e-13 1.902241395241219089e-16 -1.695483482574315051e-13 1.200834073891007986e-16 -1.666115612163912604e-13 1.142246630766220290e-16 -1.656271930856420128e-13 1.111981137368936251e-16 -1.647104304281086768e-13 1.050987273123360346e-16 -2.686712545113933006e-13 1.724258537420863747e-16 -1.650046504903944726e-13 1.081473705153334171e-16 -2.696395861375453951e-13 1.507430868602066358e-16 -1.659516659588834389e-13 9.616436862409666154e-17 -2.639608529623062416e-13 1.400525997769427536e-16 -1.683546886609090282e-13 9.053797971400360080e-17 -2.561034210826298836e-13 1.299122183476979182e-16 -1.718164777617409183e-13 8.527384339872566365e-17
6.765000000000001137e+02 3.277755713575229085e-13 1.917644966945086869e-16 9.414769939083051979e-14 1.204538849921699693e-16 9.209757542755013525e-14 1.150443939483867730e-16 9.138279220911495962e-14 1.122320367878448274e-16 9.073715458099749057e-14 1.065416648103658110e-16 2.895221104455964491e-13 1.768229064746512674e-16 9.091008729677470210e-14 1.093896294376831772e-16 2.417382318637957084e-13 1.557695211989811874e-16 9.192794668025396568e-14 9.817181443090035460e-17 2.208612259799462964e-13 1.450847368537156876e-16 9.420112907977856098e-14 9.288190963119815299e-17 2.034146075868086852e-13 1.348949062429298963e-16 9.759423874492097215e-14 8.791504794601932897e-17
7.265000000000001137e+02 -9.129187414412405295e-14 1.810440619151792376e-16 -5.242570576319465991e-14 1.154876407707086587e-16 -4.926680452105415379e-14 1.101761181163286624e-16 -4.749371191513023743e-14 1.074113180474383954e-16 -4.352715868114204863e-14 1.018055637976128528e-16 -7.631278717350896079e-14 1.652972381666068890e-16 -4.567036207111066772e-14 1.046128724006965877e-16 -5.794998697259872488e-14 1.450998435296431294e-16 -3.686797855869191347e-14 9.352115880615552209e-17 -5.025386446864497093e-14 1.351266636238493063e-16 -3.204991898010101693e-14 8.825603715219986926e-17 -4.367921996470100339e-14 1.256446566381942668e-16 -2.712541098886782816e-14 8.328695940586040988e-17
7.765000000000001137e+02 -3.235922040795884362e-13 1.894751009321173495e-16 -3.254990450618639519e-13 1.194734022092214335e-16 -3.274058332585280981e-13 1.139735656804436146e-16 -3.277037184354725825e-13 1.111239898144056717e-16 -3.271190319646047540e-13 1.053779073557595870e-16 -3.260510006678579533e-13 1.737354865983102305e-16 -3.275936785835710020e-13 1.082504759809976640e-16 -3.265614750415669539e-13 1.527699312300782329e-16 -3.236556785023751389e-13 9.697006195633519761e-17 -3.267176229726807753e-13 1.422593042824191809e-16 -3.199250711576979055e-13 9.167994106967228000e-17 -3.262694762644639404e-13 1.322419715160874132e-16 -3.152903653645230481e-13 8.672517232188781718e-17
8.265000000000000000e+02 -3.834704336463762274e-14 1.933621770090510872e-16 -1.771234397794695726e-13 1.240744310728211538e-16 -1.773574719128358826e-13 1.183759593211124930e-16 -1.769962837453247165e-13 1.154132489842947631e-16 -1.753050680436352834e-13 1.094239576550986708e-16 -4.822410516062174336e-14 1.780674602723905804e-16 -1.762845833171662815e-13 1.124211539483215790e-16 -7.043395652105667939e-14 1.572580780294456645e-16 -1.703800628845008902e-13 1.006339651188665067e-16 -8.195616571569381764e-14 1.466767989854584226e-16 -1.656699639993556294e-13 9.508950957825168614e-17 -9.182340553599013412e-14 1.365014839223746901e-16 -1.599421249774053959e-13 8.988707989951592136e-17
8.765000000000000000e+02 4.076194711599823138e-13 1.783814860273352878e-16 1.806373323133959103e-13 1.200531685270213602e-16 1.650978761372934549e-13 1.150393191828275581e-16 1.571979131248926024e-13 1.123666763871104808e-16 1.415291149400723881e-13 1.068561031167563902e-16 3.559280096675472274e-13 1.676418538582938735e-16 1.492897578545735488e-13 1.096305936943068122e-16 2.942167415522277836e-13 1.503851269167394973e-16 1.190320858908782107e-13 9.856102189531354457e-17 2.647738234886321994e-13 1.410895596306774826e-16 1.050954386412975712e-13 9.322696846952031215e-17 2.371058926014274975e-13 1.319299453622881583e-16 9.213780210927937759e-14 8.816388405920358704e-17
9.265000000000000000e+02 5.165821946270136605e-13 1.486031405104236386e-16 4.050252212156647645e-13 1.131301543520532423e-16 3.902356824855426690e-13 1.096229608362555984e-16 3.824576650359034485e-13 1.076297956278182898e-16 3.665078478804528671e-13 1.033238045908518936e-16 5.126271645845012885e-13 1.462356805104286027e-16 3.745155965471557049e-13 1.055218637436632742e-16 4.866720770534505984e-13 1.367374602456396434e-16 3.424094936952046488e-13 9.646145020921641752e-17 4.674101636846866369e-13 1.305213854939795179e-16 3.267187418400385793e-13 9.185526276168306470e-17 4.457519151741620689e-13 1.238774965952651508e-16 3.115725175373412507e-13 8.736184205377264914e-17
9.765000000000000000e+02 1.362449528567793175e-14 1.262659924397825597e-16 -3.433980120907625313e-15 1.015127366644858208e-16 -9.345412097911659719e-15 9.914903873641272818e-17 -1.223046041992289621e-14 9.770956915307083909e-17 -1.787632513522465655e-14 9.445397592443170360e-17 -1.675791285626144900e-14 1.267603628316633262e-16 -1.508059364145869622e-14 9.613871565131731663e-17 -3.580985362755094388e-14 1.209613804357539651e-16 -2.608636782814121800e-14 8.899697695977750698e-17 -4.193526985179838235e-14 1.165765813524346607e-16 -3.138443546902564877e-14 8.520501869436334642e-17 -4.674524057126142623e-14 1.116257567367217071e-16 -3.654798421006502852e-14 8.143184846831180884e-17
1.026500000000000000e+03 -1.137623995018242248e-13 1.126756086668220038e-16 -1.200598683671410845e-13 9.412261901362042634e-17 -1.139623708755678168e-13 9.260487660764367519e-17 -1.104977156773138375e-13 9.158033549718354457e-17 -1.028347110892922698e-13 8.912217112667233106e-17 -1.049944391393147339e-13 1.156794084108618152e-16 -1.067995337089682396e-13 9.041538860440651487e-17 -9.531930549406154973e-14 1.125322449331266749e-16 -8.992123459717024427e-14 8.475478154371598782e-17 -8.979990803971324964e-14 1.093346399904599564e-16 -8.065467591898818143e-14 8.160750356721812002e-17 -8.371182887961685609e-14 1.054591518023376120e-16 -7.109979079303083145e-14 7.841338493998348260e-17
