# ell cibdBeta_1.0_T_10.7_gy cibdBeta_1.0_T_10.7_yy cibdBeta_1.2_T_10.7_gy cibdBeta_1.2_T_10.7_yy
1.126500000000000000e+03 -4.831492897911902276e-14 1.067169003046227087e-16 -5.585534463366639366e-14 1.170387211050201434e-16
1.176500000000000227e+03 -8.372392200541276862e-14 9.353858474111074882e-17 -8.410401457421053963e-14 1.029637505199655897e-16
1.226500000000000227e+03 -1.674970113500193076e-13 7.820668340780063022e-17 -1.886562161097111907e-13 8.729527761074821537e-17
1.276500000000000455e+03 1.635551240378099201e-13 6.591065097212872701e-17 1.766095696569695842e-13 7.329890650113749557e-17
1.326500000000000227e+03 1.111512433229746259e-14 5.812368144226078402e-17 1.303719522414614621e-14 6.486459153080384687e-17
1.376500000000000227e+03 8.620020251171722190e-14 6.096434706972313077e-17 9.063124881208804092e-14 6.873082757809409488e-17
1.426500000000000227e+03 -5.461106902592204855e-14 6.023185927755941291e-17 -5.796114641527477859e-14 6.784268310166139632e-17
1.476500000000000227e+03 1.129359224731032084e-13 5.494841684272201767e-17 1.353585328345583200e-13 6.159276198912581534e-17
1.526500000000000000e+03 6.001907125456667893e-14 4.451114369652191612e-17 7.090574355820802403e-14 4.965263693507526760e-17
1.576500000000000000e+03 -3.535965815365611185e-14 3.420786637990435792e-17 -3.428328250061278633e-14 3.776283367237955431e-17
1.626500000000000227e+03 1.568932311196806374e-14 3.026887475822723723e-17 1.944047210951169091e-14 3.259030072723818958e-17
1.676500000000000227e+03 -8.696957886492231303e-14 2.875331357571592481e-17 -1.022909109083192345e-13 3.102945525237249947e-17
1.726500000000000227e+03 2.261925674560319426e-14 2.815097512530320444e-17 2.901912117289670777e-14 3.011543933911976321e-17
1.776500000000000227e+03 1.399061332106389939e-14 2.505594048969005823e-17 1.034996469485527617e-14 2.670651229003561016e-17
1.826500000000000227e+03 1.265911363653150645e-13 2.428434760937098561e-17 1.181179273349498420e-13 2.535332318539172829e-17
1.876500000000000000e+03 -5.783400684479407435e-14 2.086625478917090808e-17 -6.203688132267140465e-14 2.115279696624330792e-17
1.926500000000000000e+03 9.349923681728044395e-15 1.880839179678037746e-17 1.167212966600843705e-14 1.868931984871647171e-17
1.976500000000000000e+03 -6.278339860497926362e-14 1.885170880414473276e-17 -7.097644540559173036e-14 1.849011314163028863e-17
2.026500000000000000e+03 -1.066575287003732291e-13 1.802601258526622216e-17 -1.040281597590905028e-13 1.767486671360504730e-17
2.076500000000000000e+03 5.237249287581383174e-14 1.760296827854923356e-17 4.249416751784563158e-14 1.692414609171301490e-17
2.126500000000000000e+03 -7.166988654619991399e-14 1.616634005630273667e-17 -7.670676904444079150e-14 1.534732850984202658e-17
2.176500000000000000e+03 -2.958913549271551744e-14 1.556648070919888226e-17 -3.016546400568636358e-14 1.422016657263894329e-17
2.226500000000000000e+03 -3.162832965892795795e-14 1.508215936016573505e-17 -3.249826552415530613e-14 1.348230738895744576e-17
2.276500000000000000e+03 1.673177744529356626e-14 1.439177839107981743e-17 1.872231861372015950e-14 1.259266750748783584e-17
2.326500000000000000e+03 -5.163698026884605182e-14 1.487933791581951014e-17 -4.577883395831636582e-14 1.287549764172273606e-17
2.376500000000000000e+03 1.237061500695027316e-14 1.457147545265293388e-17 1.222280609251229186e-14 1.257411310385788595e-17
2.426500000000000000e+03 -5.139541702451176904e-14 1.425247870261521257e-17 -5.830298316072905976e-14 1.214675730031151362e-17
2.476500000000000000e+03 2.132126064622785604e-14 1.430578222681503092e-17 1.791549483388226167e-14 1.202261587620428248e-17
2.526500000000000455e+03 -3.583629934573773471e-14 1.392390994425881577e-17 -3.594658519487158084e-14 1.152389462084967384e-17
2.576500000000000909e+03 -1.874513048474210961e-14 1.425507935126832876e-17 -2.197371883070618615e-14 1.178768989191537203e-17
2.626500000000000455e+03 -2.518624366686893587e-14 1.488939520654156020e-17 -1.907569138512045068e-14 1.209196471906301995e-17
2.676500000000000909e+03 -6.269077659786064833e-14 1.481628345952372091e-17 -5.981311382715746502e-14 1.202301011431053467e-17
2.726500000000001364e+03 -1.183919565078262848e-14 1.499581155802372840e-17 -8.445895817723598484e-15 1.213147252542393548e-17
2.776500000000001819e+03 2.018148907335487462e-14 1.546000455657507447e-17 1.762427780591545780e-14 1.242506477080603238e-17
2.826500000000001819e+03 1.631057907316447158e-14 1.548665416971126143e-17 1.046388392800921171e-14 1.227767842031203031e-17
2.876500000000001819e+03 -1.600911691721805427e-14 1.590298170494312481e-17 -2.028280283675470516e-14 1.251381757818784109e-17
2.926500000000001819e+03 -4.285514164743338320e-15 1.583189822316353689e-17 -2.401182582394772689e-15 1.245105475697987218e-17
2.976500000000001364e+03 -4.006293760019782401e-14 1.629726824679201627e-17 -3.963200190909941582e-14 1.274920986807461199e-17
3.026500000000001364e+03 -1.328224781138362774e-14 1.609330402261827696e-17 -1.566985745161284175e-14 1.255319502704031805e-17
3.076500000000001364e+03 -3.413878579694116766e-14 1.704225588099302983e-17 -2.860720583306681079e-14 1.323444798517630279e-17
3.126500000000000909e+03 -1.652969153198708966e-15 1.661358754703742295e-17 1.099792835224364615e-15 1.290149601786818859e-17
3.176500000000000909e+03 3.640019469074267417e-14 1.797799355954241096e-17 3.376921081364147599e-14 1.385624918192376263e-17
3.226500000000000455e+03 6.053670173498909620e-14 1.853007628488258274e-17 5.510585951679608140e-14 1.419168585240443475e-17
