# ell cl_auto
3.576500000000000000e+03 1.121193430896828821e-07
3.626500000000000000e+03 1.113891917569363394e-07
3.676500000000000000e+03 1.117567096437066084e-07
3.726500000000000000e+03 1.101823531149638481e-07
3.776500000000000000e+03 1.098426372403317482e-07
3.826500000000000000e+03 1.100694788869871122e-07
3.876500000000000000e+03 1.096567975067150858e-07
3.926500000000000000e+03 1.090150158819579705e-07
3.976500000000000000e+03 1.089380897980127263e-07
4.026500000000000000e+03 1.080950919129152381e-07
4.076500000000000000e+03 1.078279578485657268e-07
4.126500000000000000e+03 1.075184871674584435e-07
4.176500000000000000e+03 1.067508127162446483e-07
4.226500000000000000e+03 1.075677603302578983e-07
4.276500000000000000e+03 1.061265378095360785e-07
4.326500000000000000e+03 1.060653910690403778e-07
4.376500000000000000e+03 1.049857199906363432e-07
4.426500000000000000e+03 1.044347436701024182e-07
4.476500000000000000e+03 1.044010280299204382e-07
4.526500000000000000e+03 1.040355883168934820e-07
4.576499999999999091e+03 1.027174204374170064e-07
4.626499999999999091e+03 1.029451569263927973e-07
4.676499999999999091e+03 1.021930255173017535e-07
4.726499999999999091e+03 1.011566394533065541e-07
4.776499999999999091e+03 1.010994636165214767e-07
4.826499999999999091e+03 1.008512464328589690e-07
4.876499999999999091e+03 9.999274276138375951e-08
4.926499999999999091e+03 9.942493805066824566e-08
4.976499999999999091e+03 9.928164502960139066e-08
5.026499999999999091e+03 9.871468631581318375e-08
5.076499999999999091e+03 9.801861274296111377e-08
5.126499999999999091e+03 9.739964300253937897e-08
5.176499999999999091e+03 9.682816614621176202e-08
5.226499999999999091e+03 9.683586032655427230e-08
5.276499999999998181e+03 9.584950047397535202e-08
5.326499999999998181e+03 9.557591913244935643e-08
5.376499999999998181e+03 9.547623001839881421e-08
5.426499999999998181e+03 9.455803393642034015e-08
5.476499999999998181e+03 9.459001539888555304e-08
5.526499999999998181e+03 9.383780035657417472e-08
5.576499999999998181e+03 9.376958547690533282e-08
5.626499999999998181e+03 9.387895666684844816e-08
5.676499999999998181e+03 9.307109217651450906e-08
5.726499999999998181e+03 9.279256764321923770e-08
5.776499999999998181e+03 9.229547048207100551e-08
5.826499999999998181e+03 9.227700195726616245e-08
5.876499999999998181e+03 9.181475764251513209e-08
5.926499999999998181e+03 9.197098474296336089e-08
5.976499999999998181e+03 9.201426866170148856e-08
6.026499999999998181e+03 9.293388700861342901e-08
6.076499999999999091e+03 9.509405883817842515e-08
