# ell cl_yy
2.876500000000001819e+03 4.561168105948581971e-18
2.926500000000001819e+03 4.528420708680563559e-18
2.976500000000001364e+03 4.371829478335001008e-18
3.026500000000001364e+03 4.251212654421914414e-18
3.076500000000001364e+03 4.265773737620036968e-18
3.126500000000000909e+03 4.159656183607976011e-18
3.176500000000000909e+03 4.157715822841451009e-18
3.226500000000000455e+03 4.160759267521569544e-18
3.276500000000000455e+03 4.067464485447620687e-18
3.326500000000000000e+03 4.054134788008807008e-18
3.376500000000000000e+03 4.036946405216734534e-18
3.426500000000000000e+03 3.960710102411242144e-18
3.476500000000000000e+03 3.984254803058064761e-18
3.526500000000000000e+03 3.928486796373074539e-18
3.576500000000000000e+03 3.900520676188514215e-18
3.626500000000000000e+03 3.893981172335104436e-18
3.676500000000000000e+03 3.885724172856645123e-18
3.726500000000000000e+03 3.853352056547998870e-18
3.776500000000000000e+03 3.851055656088528873e-18
3.826500000000000000e+03 3.819820687998466971e-18
3.876500000000000000e+03 3.828164237593592535e-18
3.926500000000000000e+03 3.796496185701132912e-18
3.976500000000000000e+03 3.783714585610224542e-18
4.026500000000000000e+03 3.748110380273877441e-18
4.076500000000000000e+03 3.709197220591141872e-18
4.126500000000000000e+03 3.713706936508492467e-18
4.176500000000000000e+03 3.741140012315371156e-18
4.226500000000000000e+03 3.720545037832185080e-18
4.276500000000000000e+03 3.742272751198171408e-18
4.326500000000000000e+03 3.706852397037855366e-18
4.376500000000000000e+03 3.714280205879166304e-18
4.426500000000000000e+03 3.689648659568297348e-18
4.476500000000000000e+03 3.658255869195256957e-18
4.526500000000000000e+03 3.640979871212152364e-18
4.576499999999999091e+03 3.603290282942687019e-18
4.626499999999999091e+03 3.579470084793910006e-18
4.676499999999999091e+03 3.610999867043358002e-18
4.726499999999999091e+03 3.651751342451744405e-18
4.776499999999999091e+03 3.669447360506386164e-18
4.826499999999999091e+03 3.631281430436617452e-18
4.876499999999999091e+03 3.571654421963584990e-18
4.926499999999999091e+03 3.580178929438717657e-18
4.976499999999999091e+03 3.559935267737523543e-18
5.026499999999999091e+03 3.580107736429904923e-18
5.076499999999999091e+03 3.633464445692831153e-18
5.126499999999999091e+03 3.741607706139838129e-18
5.176499999999999091e+03 3.814739463185556549e-18
5.226499999999999091e+03 3.837541342460112643e-18
5.276499999999998181e+03 3.901357401236756921e-18
5.326499999999998181e+03 3.965868970098572069e-18
5.376499999999998181e+03 4.015799416873416277e-18
5.426499999999998181e+03 4.043102799364907367e-18
5.476499999999998181e+03 3.984272401056526233e-18
5.526499999999998181e+03 3.969359679292199047e-18
5.576499999999998181e+03 3.896412578147347310e-18
5.626499999999998181e+03 3.819000545831733143e-18
5.676499999999998181e+03 3.681661466240063297e-18
5.726499999999998181e+03 3.604112899054857708e-18
5.776499999999998181e+03 3.527414121764652284e-18
5.826499999999998181e+03 3.438678186829548547e-18
5.876499999999998181e+03 3.346569427289654826e-18
5.926499999999998181e+03 3.303714235334747948e-18
5.976499999999998181e+03 3.255638093915020681e-18
6.026499999999998181e+03 3.259668992917334266e-18
6.076499999999999091e+03 3.328987055017119314e-18
