# ell cl_gy cl_yy
4.526500000000000000e+03 5.157585551029618364e-15 3.424745717721161190e-17
4.576499999999999091e+03 8.067203919437490802e-15 3.625874977058684861e-17
4.626499999999999091e+03 -7.875574543133085990e-16 3.679924905456658713e-17
4.676499999999999091e+03 4.892628202228150560e-15 3.804456949650075210e-17
4.726499999999999091e+03 1.696160068526154922e-15 3.899428745932498024e-17
4.776499999999999091e+03 -6.553645356252406178e-15 4.016664155257571877e-17
4.826499999999999091e+03 -5.305242814561572099e-15 4.089395851603585435e-17
4.876499999999999091e+03 -1.130057906908864446e-14 4.168925462840394377e-17
4.926499999999999091e+03 2.299288704199756790e-15 4.220100458844714706e-17
4.976499999999999091e+03 -1.798137926209028385e-15 4.328421051459023038e-17
5.026499999999999091e+03 -8.010601698514888226e-15 4.439261334287995208e-17
5.076499999999999091e+03 1.047174780051707359e-16 4.659730659692404070e-17
5.126499999999999091e+03 3.311905466437884223e-15 4.844557947578811520e-17
5.176499999999999091e+03 -3.775354462568632958e-15 5.164286976318022810e-17
5.226499999999999091e+03 6.954786657004432612e-15 5.291403222261571887e-17
5.276499999999998181e+03 1.289775739177528891e-15 5.519388903430959248e-17
5.326499999999998181e+03 8.828992967134496066e-15 5.770030193456177238e-17
5.376499999999998181e+03 1.354380938428141516e-14 5.982182905958350216e-17
5.426499999999998181e+03 1.122433851496894408e-15 6.180195742108883207e-17
5.476499999999998181e+03 -2.528592623306868879e-15 6.255622656632581652e-17
5.526499999999998181e+03 8.797809355349523943e-15 6.406746107077229361e-17
5.576499999999998181e+03 -5.647964524436137755e-16 6.416134541478488397e-17
5.626499999999998181e+03 -3.878709978628885075e-15 6.442420016099053900e-17
5.676499999999998181e+03 6.932446385648626609e-15 6.382055917408016460e-17
5.726499999999998181e+03 5.355745861730215193e-15 6.470027388054871071e-17
5.776499999999998181e+03 -3.640172937167182747e-15 6.419538335151300846e-17
5.826499999999998181e+03 -1.836313830362028144e-15 6.477403355040381038e-17
5.876499999999998181e+03 8.691986846518080806e-15 6.577514001122782604e-17
5.926499999999998181e+03 -7.249566321326299074e-15 6.655681860590143757e-17
5.976499999999998181e+03 3.521891033255832023e-15 6.784099378002827630e-17
6.026499999999998181e+03 -1.759570680074884189e-15 6.944519410712549354e-17
6.076499999999999091e+03 -9.875183462808823495e-15 7.269647700062358099e-17
