# ell cl_gy cl_yy
2.176500000000000000e+03 1.820511023362111814e-14 1.270429007801039612e-17
2.226500000000000000e+03 -6.245429097613467351e-15 1.135737826181237042e-17
2.276500000000000000e+03 -3.460532095431506683e-16 1.040001551464271236e-17
2.326500000000000000e+03 2.865746127741256918e-15 1.011767393537986584e-17
2.376500000000000000e+03 -1.997525521907490239e-14 9.740610357919581890e-18
2.426500000000000000e+03 5.371216894580275024e-15 9.083556429778748805e-18
2.476500000000000000e+03 2.031213509285465061e-14 8.642224439391614538e-18
2.526500000000000455e+03 -5.189755863174517273e-14 8.174902146503423297e-18
2.576500000000000909e+03 2.080274475419444602e-15 7.947423795640672550e-18
2.626500000000000455e+03 2.685268816873396506e-15 7.989333989921948998e-18
2.676500000000000909e+03 -4.240406409365421815e-14 7.752704615083301806e-18
2.726500000000001364e+03 -6.180925545700855947e-14 7.712903555083330346e-18
2.776500000000001819e+03 -5.455317465598256933e-14 7.562871657456258501e-18
2.826500000000001819e+03 -6.067508209779757476e-14 7.478518321388583784e-18
2.876500000000001819e+03 5.556451886587813165e-15 7.430484382023187408e-18
2.926500000000001819e+03 -6.999108449758355234e-14 7.458872289237733145e-18
2.976500000000001364e+03 -5.605307924040819392e-14 7.424275975920858277e-18
3.026500000000001364e+03 -4.223609827761461129e-14 7.387660181333523289e-18
3.076500000000001364e+03 -7.264507665662218409e-14 7.528131647877603535e-18
3.126500000000000909e+03 -7.341817922970690259e-14 7.492141284346605408e-18
3.176500000000000909e+03 -6.094179081352474535e-14 7.677406626608668148e-18
3.226500000000000455e+03 -6.984574968617298990e-14 7.758493326691567105e-18
3.276500000000000455e+03 -8.498434155204907929e-14 7.743628332537328439e-18
3.326500000000000000e+03 -5.993727047511019253e-14 7.848347056928518773e-18
3.376500000000000000e+03 -1.107648782701479084e-13 8.006476813877188952e-18
3.426500000000000000e+03 -5.575953733084622700e-14 7.958513191043683439e-18
3.476500000000000000e+03 -7.341246190349049001e-14 8.185934477556300013e-18
3.526500000000000000e+03 -5.972089904229287073e-14 8.111949367731422832e-18
3.576500000000000000e+03 -2.761562467772108380e-14 8.307844008996280599e-18
3.626500000000000000e+03 -8.381667160969178984e-14 8.395525524272618735e-18
3.676500000000000000e+03 -6.953108841251293795e-14 8.594889792718368391e-18
3.726500000000000000e+03 -5.916521609701331119e-14 8.724765387817074310e-18
3.776500000000000000e+03 -6.337142423139451973e-14 8.934471500446008936e-18
3.826500000000000000e+03 -8.585503701236546749e-14 9.096943135339497855e-18
3.876500000000000000e+03 -9.001172851765831774e-14 9.407303660033285811e-18
3.926500000000000000e+03 -4.397639040992986454e-14 9.635977186316165972e-18
3.976500000000000000e+03 -8.202192149293951657e-14 9.919708489170037711e-18
4.026500000000000000e+03 -6.382764045209340793e-14 1.018990181727061473e-17
4.076500000000000000e+03 -7.330797496122724412e-14 1.055060141054672627e-17
4.126500000000000000e+03 -9.106854000551784350e-14 1.128968036188306686e-17
4.176500000000000000e+03 -6.203399190839520224e-14 1.231034688247682898e-17
4.226500000000000000e+03 -1.074606867611909274e-13 1.391219162677521616e-17
4.276500000000000000e+03 -1.173458146589491544e-13 1.649377315048372267e-17
4.326500000000000000e+03 -8.074712785871668687e-14 1.956524894938778177e-17
