# ell cl_gy cl_yy
5.476499999999998181e+03 -9.850120906621303063e-15 6.255622656632581652e-17
5.526499999999998181e+03 -3.835136971602904605e-14 6.406746107077229361e-17
5.576499999999998181e+03 1.699818665548442610e-14 6.416134541478488397e-17
5.626499999999998181e+03 -4.875716507535468638e-14 6.442420016099053900e-17
5.676499999999998181e+03 -5.743903945532620613e-14 6.382055917408016460e-17
5.726499999999998181e+03 -3.764856910320081701e-14 6.470027388054871071e-17
5.776499999999998181e+03 -5.744573399163674479e-14 6.419538335151300846e-17
5.826499999999998181e+03 -3.151420052748400930e-14 6.477403355040381038e-17
5.876499999999998181e+03 -6.150778003872772211e-14 6.577514001122782604e-17
5.926499999999998181e+03 -5.582602394669210109e-15 6.655681860590143757e-17
5.976499999999998181e+03 -8.449842689390770186e-15 6.784099378002827630e-17
6.026499999999998181e+03 -5.051713230265180100e-14 6.944519410712549354e-17
6.076499999999999091e+03 -4.374283299072158796e-14 7.269647700062358099e-17
